ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,899,1175750.000000,1000000
1418240,817,1744363.000000,1000000
1916928,934,1037372.000000,1000000
2592768,1095,1196223.000000,1000000
3506176,1491,1192939.000000,1000000
4741120,941,1277772.000000,1000000
6411264,862,1890598.000000,1000000
8669184,1206,1829097.000000,1000000
11723776,1396,1069941.000000,1000000
15852544,1292,1562060.000000,1000000
21437440,1046,1305380.000000,1000000
28988416,1206,1533224.000000,1000000
39199744,1033,1209973.000000,1000000
53007360,1379,1226360.000000,1000000
71680000,1236,1849831.000000,1000000
96928768,1251,1237007.000000,1000000
131072000,1191,1756873.000000,1000000
177242112,1450,1953002.000000,1000000
239675392,1181,1620416.000000,1000000
324101120,1337,1935863.000000,1000000
438265856,1153,1518653.000000,1000000
592644096,1185,1998257.000000,1000000
801403904,1211,1322593.000000,1000000
1083697152,1134,1909572.000000,1000000
1465430016,1199,1220964.000000,1000000
1981626368,1530,1294202.000000,1000000
2679653376,1226,1091965.000000,1000000
3623561216,1236,1464821.000000,1000000
604991488,1088,1110353.000000,1000000
2331000832,1216,1915711.000000,1000000
370027520,1170,1263004.000000,1000000
3526171648,1288,1368095.000000,1000000
3499098112,1374,1272064.000000,1000000
