ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,1791,1180121.000000,1000000
1418240,1089,1308983.000000,1000000
1916928,1172,1653034.000000,1000000
2592768,1266,1034576.000000,1000000
3506176,1639,1085293.000000,1000000
4741120,1855,1296769.000000,1000000
6411264,1091,1494686.000000,1000000
8669184,1842,1197898.000000,1000000
11723776,1586,1882419.000000,1000000
15852544,1318,1531501.000000,1000000
21437440,1250,1092798.000000,1000000
28988416,1034,1787205.000000,1000000
39199744,927,1348860.000000,1000000
53007360,902,1874813.000000,1000000
71680000,892,1281318.000000,1000000
96928768,871,1775312.000000,1000000
131072000,872,1200456.000000,1000000
177242112,954,1483962.000000,1000000
239675392,879,1088287.000000,1000000
324101120,904,1432193.000000,1000000
438265856,821,1066326.000000,1000000
592644096,862,1374042.000000,1000000
801403904,882,1814186.000000,1000000
1083697152,886,1221688.000000,1000000
1465430016,882,1659199.000000,1000000
1981626368,906,1093011.000000,1000000
2679653376,883,1515419.000000,1000000
3623561216,820,1103777.000000,1000000
604991488,882,1369903.000000,1000000
2331000832,886,1313532.000000,1000000
370027520,822,1799028.000000,1000000
3526171648,887,1985627.000000,1000000
3499098112,913,1914919.000000,1000000
