ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,1714,1233006.000000,1000000
1418240,1147,1242008.000000,1000000
1916928,1145,1692487.000000,1000000
2592768,1205,1087428.000000,1000000
3506176,1276,1393380.000000,1000000
4741120,1837,1309725.000000,1000000
6411264,1207,1351076.000000,1000000
8669184,1820,1212161.000000,1000000
11723776,1625,1837806.000000,1000000
15852544,1229,1642285.000000,1000000
21437440,1201,1136550.000000,1000000
28988416,1030,1794124.000000,1000000
39199744,942,1327418.000000,1000000
53007360,858,1971503.000000,1000000
71680000,851,1343046.000000,1000000
96928768,894,1731263.000000,1000000
131072000,836,1252309.000000,1000000
177242112,1250,1132607.000000,1000000
239675392,842,1136320.000000,1000000
324101120,864,1498328.000000,1000000
438265856,904,1936422.000000,1000000
592644096,841,1407744.000000,1000000
801403904,907,1764868.000000,1000000
1083697152,902,1200074.000000,1000000
1465430016,850,1722756.000000,1000000
1981626368,1180,1677566.000000,1000000
2679653376,909,1472136.000000,1000000
3623561216,913,1983550.000000,1000000
604991488,896,1348245.000000,1000000
2331000832,840,1386630.000000,1000000
370027520,902,1638338.000000,1000000
3526171648,902,1951926.000000,1000000
3499098112,881,1984951.000000,1000000
