ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,1769,1194946.000000,1000000
1418240,1038,1372872.000000,1000000
1916928,1209,1602517.000000,1000000
2592768,1045,1253209.000000,1000000
3506176,1384,1284642.000000,1000000
4741120,1398,1720271.000000,1000000
6411264,1330,1225816.000000,1000000
8669184,1560,1414390.000000,1000000
11723776,1569,1902888.000000,1000000
15852544,1306,1545149.000000,1000000
21437440,1240,1101439.000000,1000000
28988416,1284,1440012.000000,1000000
39199744,1288,1940897.000000,1000000
53007360,1448,1168043.000000,1000000
71680000,1513,1512041.000000,1000000
96928768,1331,1162851.000000,1000000
131072000,1271,1647496.000000,1000000
177242112,1898,1491415.000000,1000000
239675392,1050,1823782.000000,1000000
324101120,1115,1160818.000000,1000000
438265856,1100,1591618.000000,1000000
592644096,1029,1150658.000000,1000000
801403904,1082,1479374.000000,1000000
1083697152,1105,1959300.000000,1000000
1465430016,1034,1415887.000000,1000000
1981626368,1637,1209223.000000,1000000
2679653376,193,3455870.000000,1000000
3623561216,1110,1631778.000000,1000000
604991488,1088,1110457.000000,1000000
2331000832,1024,1136808.000000,1000000
370027520,1092,1353538.000000,1000000
3526171648,1163,1515082.000000,1000000
3499098112,1145,1526779.000000,1000000
