ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,1682,1256565.000000,1000000
1418240,918,1553153.000000,1000000
1916928,856,1132223.000000,1000000
2592768,888,1474914.000000,1000000
3506176,944,1884221.000000,1000000
4741120,1767,1361757.000000,1000000
6411264,930,1752755.000000,1000000
8669184,1783,1237171.000000,1000000
11723776,1574,1897159.000000,1000000
15852544,941,1072177.000000,1000000
21437440,899,1517942.000000,1000000
28988416,741,1246757.000000,1000000
39199744,737,1696629.000000,1000000
53007360,687,1230845.000000,1000000
71680000,680,1681597.000000,1000000
96928768,706,1094913.000000,1000000
131072000,658,1588878.000000,1000000
177242112,963,1469185.000000,1000000
239675392,665,1438641.000000,1000000
324101120,446,1451379.000000,1000000
438265856,707,1237993.000000,1000000
592644096,665,1778931.000000,1000000
801403904,711,1126197.000000,1000000
1083697152,716,1511758.000000,1000000
1465430016,658,1112551.000000,1000000
1981626368,919,1076623.000000,1000000
2679653376,709,1887703.000000,1000000
3623561216,703,1287148.000000,1000000
604991488,712,1697856.000000,1000000
2331000832,667,1745442.000000,1000000
370027520,704,1049265.000000,1000000
3526171648,710,1239474.000000,1000000
3499098112,682,1281039.000000,1000000
