ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,1739,1215607.000000,1000000
1418240,1204,1183480.000000,1000000
1916928,1157,1674941.000000,1000000
2592768,1170,1119832.000000,1000000
3506176,1327,1340474.000000,1000000
4741120,1567,1535446.000000,1000000
6411264,1286,1267820.000000,1000000
8669184,1576,1399360.000000,1000000
11723776,1589,1879013.000000,1000000
15852544,1287,1569011.000000,1000000
21437440,1284,1063343.000000,1000000
28988416,1304,1417415.000000,1000000
39199744,1310,1909215.000000,1000000
53007360,1400,1208266.000000,1000000
71680000,1259,1817369.000000,1000000
96928768,1153,1342032.000000,1000000
131072000,815,1284644.000000,1000000
177242112,1866,1517427.000000,1000000
239675392,794,1205927.000000,1000000
324101120,832,1554501.000000,1000000
438265856,896,1954168.000000,1000000
592644096,807,1466304.000000,1000000
801403904,901,1777770.000000,1000000
1083697152,892,1212935.000000,1000000
1465430016,795,1841285.000000,1000000
1981626368,1638,1208549.000000,1000000
2679653376,909,1472889.000000,1000000
3623561216,904,1001470.000000,1000000
604991488,887,1363075.000000,1000000
2331000832,801,1452755.000000,1000000
370027520,901,1640858.000000,1000000
3526171648,920,1914608.000000,1000000
3499098112,857,1019513.000000,1000000
