ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,230,1145158.000000,1000000
1418240,211,1688082.000000,1000000
1916928,241,1003287.000000,1000000
2592768,284,1153241.000000,1000000
3506176,392,1133358.000000,1000000
4741120,477,1260986.000000,1000000
6411264,443,1837071.000000,1000000
8669184,641,1720463.000000,1000000
11723776,745,1001137.000000,1000000
15852544,679,1485900.000000,1000000
21437440,775,1762237.000000,1000000
28988416,856,1080055.000000,1000000
39199744,884,1413370.000000,1000000
53007360,1036,1632320.000000,1000000
71680000,634,1802789.000000,1000000
96928768,664,1165206.000000,1000000
131072000,760,1377026.000000,1000000
177242112,1008,1404178.000000,1000000
239675392,1029,1859745.000000,1000000
324101120,921,1405584.000000,1000000
438265856,973,1798306.000000,1000000
592644096,1111,1065791.000000,1000000
801403904,1004,1595299.000000,1000000
1083697152,926,1169049.000000,1000000
1465430016,1078,1357728.000000,1000000
1981626368,1245,1590846.000000,1000000
2679653376,1065,1257438.000000,1000000
3623561216,1087,1665717.000000,1000000
604991488,813,1485660.000000,1000000
2331000832,1145,1016817.000000,1000000
370027520,895,1650971.000000,1000000
3526171648,1019,1728855.000000,1000000
3499098112,1190,1469406.000000,1000000
