ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,897,1177191.000000,1000000
1418240,817,1745179.000000,1000000
1916928,935,1036498.000000,1000000
2592768,1095,1196016.000000,1000000
3506176,1493,1191391.000000,1000000
4741120,939,1281131.000000,1000000
6411264,862,1890490.000000,1000000
8669184,1207,1827829.000000,1000000
11723776,1395,1070357.000000,1000000
15852544,1293,1561468.000000,1000000
21437440,1046,1304907.000000,1000000
28988416,1204,1535193.000000,1000000
39199744,1030,1213289.000000,1000000
53007360,1374,1231376.000000,1000000
71680000,1257,1818950.000000,1000000
96928768,1255,1233103.000000,1000000
131072000,1189,1760012.000000,1000000
177242112,1449,1954279.000000,1000000
239675392,1177,1626438.000000,1000000
324101120,1335,1939643.000000,1000000
438265856,1149,1523725.000000,1000000
592644096,1184,1000091.000000,1000000
801403904,1215,1317942.000000,1000000
1083697152,1128,1918740.000000,1000000
1465430016,1198,1221763.000000,1000000
1981626368,1530,1293872.000000,1000000
2679653376,1226,1092329.000000,1000000
3623561216,1241,1459062.000000,1000000
604991488,1089,1110294.000000,1000000
2331000832,1225,1901752.000000,1000000
370027520,1167,1266237.000000,1000000
3526171648,1298,1357448.000000,1000000
3499098112,1372,1273976.000000,1000000
