ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,31037,278988142.000000,180000000
1418240,26167,223186207.000000,180000000
1916928,31366,253182658.000000,180000000
2592768,28672,187243264.000000,180000000
3506176,26455,275427952.000000,180000000
4741120,24452,201557092.000000,180000000
6411264,22818,292749186.000000,180000000
8669184,24132,187278585.000000,180000000
11723776,23841,256603757.000000,180000000
15852544,22495,183845761.000000,180000000
21437440,22991,243364715.000000,180000000
28988416,24527,308892201.000000,180000000
39199744,23901,214347528.000000,180000000
53007360,24547,282363596.000000,180000000
71680000,24111,194350238.000000,180000000
96928768,24550,258257057.000000,180000000
131072000,24634,348170355.000000,180000000
177242112,24373,237953795.000000,180000000
239675392,22701,345534541.000000,180000000
324101120,18620,284826233.000000,180000000
438265856,14891,240845673.000000,180000000
592644096,12230,198337145.000000,180000000
801403904,11003,298114098.000000,180000000
1083697152,10829,204801592.000000,180000000
1465430016,10966,273531606.000000,180000000
1981626368,11061,183354227.000000,180000000
2679653376,10984,249704750.000000,180000000
3623561216,10577,350712933.000000,180000000
604991488,11960,207049664.000000,180000000
2331000832,10994,217035418.000000,180000000
370027520,16525,183274072.000000,180000000
3526171648,10477,344523219.000000,180000000
3499098112,10526,340282135.000000,180000000
