62851072,999,1006498.000000,1000000,1981
90763264,1015,1429785.000000,1000000,2381
131072000,1011,1036562.000000,1000000,2862
ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1024,1464,1466308.000000,1000000,8
2048,1501,1430271.000000,1000000,11
3072,1558,1033311.000000,1000000,13
4096,1263,1699197.000000,1000000,16
6144,1396,1153618.000000,1000000,19
9216,1269,1903738.000000,1000000,24
13312,1318,1323118.000000,1000000,28
19456,1280,1992077.000000,1000000,34
27648,1133,1599033.000000,1000000,41
39936,1168,1120296.000000,1000000,49
58368,1153,1658406.000000,1000000,60
83968,1167,1178757.000000,1000000,72
121856,1176,1696468.000000,1000000,87
176128,1089,1324340.000000,1000000,104
253952,1088,1911186.000000,1000000,125
366592,1070,1402310.000000,1000000,151
529408,1077,1006417.000000,1000000,181
763904,1069,1463381.000000,1000000,218
1102848,1069,1056185.000000,1000000,262
1593344,1069,1524957.000000,1000000,315
2300928,1067,1103907.000000,1000000,379
3322880,1013,1677884.000000,1000000,455
4798464,1073,1144593.000000,1000000,547
6929408,1057,1677235.000000,1000000,658
10007552,1073,1193169.000000,1000000,790
14451712,845,1093569.000000,1000000,950
20869120,804,1659484.000000,1000000,1142
30137344,775,2487854.000000,1000000,1372
43522048,1013,1373996.000000,1000000,1649
62851072,998,1006773.000000,1000000,1981
90763264,1010,1436949.000000,1000000,2381
131072000,1019,1028711.000000,1000000,2862
ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1024,434,1389469.000000,1000000,8
2048,473,1434667.000000,1000000,11
3072,490,1033819.000000,1000000,13
4096,478,1717003.000000,1000000,16
6144,525,1153014.000000,1000000,19
9216,532,1907078.000000,1000000,24
13312,535,1323377.000000,1000000,28
19456,538,1993002.000000,1000000,34
27648,498,1598267.000000,1000000,41
39936,516,1120392.000000,1000000,49
58368,531,1658676.000000,1000000,60
83968,545,1178338.000000,1000000,72
121856,558,1695796.000000,1000000,87
176128,514,1324008.000000,1000000,104
253952,517,1914700.000000,1000000,125
366592,518,1402167.000000,1000000,151
529408,521,1007357.000000,1000000,181
763904,521,1465088.000000,1000000,218
1102848,524,1056093.000000,1000000,262
1593344,511,1569968.000000,1000000,315
2300928,516,1126281.000000,1000000,379
3322880,516,1628306.000000,1000000,455
4798464,531,1143482.000000,1000000,547
6929408,525,1677659.000000,1000000,658
10007552,527,1204886.000000,1000000,790
14451712,533,1725699.000000,1000000,950
20869120,532,1250090.000000,1000000,1142
30137344,511,1877747.000000,1000000,1372
43522048,507,1367670.000000,1000000,1649
62851072,498,1005835.000000,1000000,1981
90763264,506,1428883.000000,1000000,2381
131072000,511,1024096.000000,1000000,2862
