ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,19248,224928654.000000,180000000
1418240,23521,248287980.000000,180000000
1916928,34587,229606026.000000,180000000
2592768,46588,230474889.000000,180000000
3506176,61301,237728689.000000,180000000
4741120,84478,233361950.000000,180000000
6411264,105337,253662840.000000,180000000
8669184,159757,226313966.000000,180000000
11723776,211222,231715933.000000,180000000
15852544,251086,263544822.000000,180000000
21437440,331610,269970370.000000,180000000
28988416,493437,245666536.000000,180000000
39199744,566425,289437901.000000,180000000
53007360,917232,241817840.000000,180000000
71680000,1246730,240556621.000000,180000000
96928768,1499377,270636323.000000,180000000
131072000,2247025,244289007.000000,180000000
177242112,2975384,249506194.000000,180000000
239675392,3828096,262282901.000000,180000000
324101120,1107376,306523319.000000,180000000
438265856,956419,239999918.000000,180000000
592644096,1877514,330761580.000000,180000000
801403904,2440060,344169366.000000,180000000
1083697152,1433576,198025902.000000,180000000
1465430016,1910125,201020468.000000,180000000
1981626368,2646804,196162549.000000,180000000
2679653376,2002017,350746513.000000,180000000
3623561216,2714550,349833791.000000,180000000
604991488,1749082,362439968.000000,180000000
2331000832,3110393,196388096.000000,180000000
370027520,1192201,325176068.000000,180000000
3526171648,2551638,181073156.000000,180000000
3499098112,2630765,348561322.000000,180000000
