ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,161747,214141364.000000,180000000
1418240,192160,243136483.000000,180000000
1916928,277005,229349585.000000,180000000
2592768,372695,230481535.000000,180000000
3506176,532086,219108660.000000,180000000
4741120,162760,242246986.000000,180000000
6411264,198750,268880583.000000,180000000
8669184,293328,246517332.000000,180000000
11723776,396122,247113278.000000,180000000
15852544,472547,280067906.000000,180000000
21437440,291999,306592309.000000,180000000
28988416,436433,277754019.000000,180000000
39199744,271332,302110107.000000,180000000
53007360,391969,282934118.000000,180000000
71680000,284684,263369727.000000,180000000
96928768,367551,276005931.000000,180000000
131072000,350285,195884454.000000,180000000
177242112,347407,267113346.000000,180000000
239675392,361309,347362723.000000,180000000
324101120,384344,220789123.000000,180000000
438265856,341850,335732631.000000,180000000
592644096,395397,196324260.000000,180000000
801403904,389966,269187748.000000,180000000
1083697152,354936,199954866.000000,180000000
1465430016,389018,246758508.000000,180000000
1981626368,391840,331259846.000000,180000000
2679653376,359313,244285729.000000,180000000
3623561216,361231,328612263.000000,180000000
604991488,332553,238284246.000000,180000000
2331000832,387477,197057770.000000,180000000
370027520,355149,272896008.000000,180000000
3526171648,377365,306091442.000000,180000000
3499098112,385561,297288081.000000,180000000
