ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,83636,207066350.000000,180000000
1418240,98125,238069181.000000,180000000
1916928,142125,223503894.000000,180000000
2592768,191650,224103734.000000,180000000
3506176,268935,216752173.000000,180000000
4741120,354348,222539852.000000,180000000
6411264,436212,245019194.000000,180000000
8669184,661698,218560484.000000,180000000
11723776,878270,222908846.000000,180000000
15852544,1015879,260553027.000000,180000000
21437440,330643,270759496.000000,180000000
28988416,494547,245115328.000000,180000000
39199744,565579,289870397.000000,180000000
53007360,910471,243613415.000000,180000000
71680000,481841,311211732.000000,180000000
96928768,605869,334879198.000000,180000000
131072000,813572,337353892.000000,180000000
177242112,548738,338219591.000000,180000000
239675392,721855,347730521.000000,180000000
324101120,631168,268895442.000000,180000000
438265856,586868,195563876.000000,180000000
592644096,792362,195936035.000000,180000000
801403904,782084,268447384.000000,180000000
1083697152,632519,224408460.000000,180000000
1465430016,704931,272348833.000000,180000000
1981626368,787748,329549390.000000,180000000
2679653376,755330,232415106.000000,180000000
3623561216,766150,309874324.000000,180000000
604991488,576267,275018534.000000,180000000
2331000832,765921,199382177.000000,180000000
370027520,709697,273126970.000000,180000000
3526171648,721490,320193608.000000,180000000
3499098112,740808,309453435.000000,180000000
