ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,347,1520958.000000,1000000
1418240,382,1862440.000000,1000000
1916928,450,1075299.000000,1000000
2592768,529,1236677.000000,1000000
3506176,602,1475575.000000,1000000
4741120,721,1667640.000000,1000000
6411264,806,1011440.000000,1000000
8669184,998,1105531.000000,1000000
11723776,1153,1295252.000000,1000000
15852544,1206,1673757.000000,1000000
21437440,724,1885972.000000,1000000
28988416,829,1114861.000000,1000000
39199744,858,1456246.000000,1000000
53007360,985,1717623.000000,1000000
71680000,785,1457207.000000,1000000
96928768,851,1818961.000000,1000000
131072000,981,1067040.000000,1000000
177242112,901,1570265.000000,1000000
239675392,986,1941221.000000,1000000
324101120,927,1396375.000000,1000000
438265856,907,1929161.000000,1000000
592644096,1016,1165640.000000,1000000
801403904,1004,1594083.000000,1000000
1083697152,888,1218245.000000,1000000
1465430016,944,1551333.000000,1000000
1981626368,1030,1922247.000000,1000000
2679653376,847,1580516.000000,1000000
3623561216,852,1062008.000000,1000000
604991488,863,1400438.000000,1000000
2331000832,985,1182353.000000,1000000
370027520,974,1516958.000000,1000000
3526171648,810,1087589.000000,1000000
3499098112,818,1068038.000000,1000000
