ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,686,1540212.000000,1000000
1418240,753,1891731.000000,1000000
1916928,883,1097185.000000,1000000
2592768,1037,1263820.000000,1000000
3506176,1179,1508199.000000,1000000
4741120,719,1673063.000000,1000000
6411264,803,1015422.000000,1000000
8669184,990,1113483.000000,1000000
11723776,1143,1306410.000000,1000000
15852544,1190,1696192.000000,1000000
21437440,941,1451251.000000,1000000
28988416,1067,1732107.000000,1000000
39199744,847,1475530.000000,1000000
53007360,973,1738612.000000,1000000
71680000,886,1290626.000000,1000000
96928768,955,1619896.000000,1000000
131072000,944,1108609.000000,1000000
177242112,984,1438468.000000,1000000
239675392,955,1002187.000000,1000000
324101120,970,1334183.000000,1000000
438265856,948,1846297.000000,1000000
592644096,963,1229775.000000,1000000
801403904,984,1627296.000000,1000000
1083697152,892,1213007.000000,1000000
1465430016,948,1544168.000000,1000000
1981626368,1013,1953913.000000,1000000
2679653376,828,1615847.000000,1000000
3623561216,834,1084829.000000,1000000
604991488,864,1398856.000000,1000000
2331000832,945,1232120.000000,1000000
370027520,945,1563660.000000,1000000
3526171648,810,1086696.000000,1000000
3499098112,820,1066467.000000,1000000
