ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,100.792402,2539874,2000000
2048,186.779104,2741206,2000000
3072,348.716356,2202363,2000000
6144,712.166832,2156798,2000000
11264,704.656387,3996274,2000000
19456,1402.178854,3468887,2000000
34816,2793.758722,3115516,2000000
62464,5579.711517,2798711,2000000
112640,11147.932189,2526029,2000000
203776,22280.214458,2286513,2000000
366592,44533.356528,2057963,2000000
659456,44523.133860,3702884,2000000
1187840,89046.094908,3334902,2000000
2138112,178081.913389,3001585,2000000
3849216,356095.656598,2702375,2000000
6929408,712299.680723,2432055,2000000
12475392,1424283.690586,2189766,2000000
22461440,1420050.587481,3954338,2000000
40437760,2821757.485678,3582675,2000000
72803328,5674878.026879,3207264,2000000
131072000,11305072.033264,2898522,2000000
