ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,6.299587,40637584,30000000
2048,11.669996,43873194,30000000
3072,22.790470,33698296,30000000
6144,44.499593,34517170,30000000
11264,88.085586,31968908,30000000
19456,87.616170,55514867,30000000
34816,174.646364,49837854,30000000
62464,348.662929,44788243,30000000
112640,696.793949,40413669,30000000
203776,1392.470089,36585346,30000000
366592,2782.962396,32931814,30000000
659456,2781.603153,59269418,30000000
1187840,5565.225109,53359926,30000000
2138112,11129.652620,48027375,30000000
3849216,22260.309305,43229588,30000000
6929408,44519.248311,38912427,30000000
12475392,89040.338752,35027360,30000000
22461440,177987.465161,31549188,30000000
40437760,177188.085599,57054852,30000000
72803328,354350.917882,51363863,30000000
131072000,708609.770904,46242659,30000000
