ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,100.718207,2541745,1600000
2048,186.770791,2741328,1600000
3072,364.624752,2106275,1600000
6144,712.186315,2156739,1600000
11264,1409.204870,1998290,1600000
19456,2803.409739,1735030,1600000
34816,2784.540426,3125830,1600000
62464,5578.878287,2799129,1600000
112640,11148.523593,2525895,1600000
203776,22272.149190,2287341,1600000
366592,44525.913773,2058307,1600000
659456,89043.093522,1851508,1600000
1187840,178073.073763,1667630,1600000
2138112,178074.912808,3001703,1600000
3849216,356160.763557,2701881,1600000
6929408,712294.116051,2432074,1600000
12475392,1424630.452766,2189233,1600000
22461440,2838252.233938,1978457,1600000
40437760,5652816.220176,1788390,1600000
72803328,11303628.920068,1610176,1600000
131072000,11302182.658145,2899263,1600000
