ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,50.398860,5079480,3500000
2048,93.397218,5481962,3500000
3072,182.333758,4212056,3500000
6144,356.118998,4313165,3500000
11264,704.615305,3996507,3500000
19456,701.057091,6938094,3500000
34816,1391.007736,6257334,3500000
62464,2789.846787,5597440,3500000
112640,5574.768314,5051331,3500000
203776,11140.401998,4572905,3500000
366592,22260.112602,4117140,3500000
659456,44524.576776,3702764,3500000
1187840,44523.241039,6669775,3500000
2138112,89049.085550,6002622,3500000
3849216,178084.962626,5403623,3500000
6929408,356188.651158,4863580,3500000
12475392,712322.384640,4378422,3500000
22461440,1423655.144123,3944326,3500000
40437760,2823063.950827,3581017,3500000
72803328,2827344.452678,6437430,3500000
131072000,5653662.449367,5795889,3500000
