ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,100.802284,2539625,2500000
2048,186.794845,2740975,2500000
3072,182.338736,4211941,2500000
6144,356.114210,4313223,2500000
11264,704.700472,3996024,2500000
19456,1402.293257,3468604,2500000
34816,2794.476286,3114716,2500000
62464,5578.499628,2799319,2500000
112640,11149.582979,2525655,2500000
203776,11139.878245,4573120,2500000
366592,22267.154344,4115838,2500000
659456,44527.378704,3702531,2500000
1187840,89049.058847,3334791,2500000
2138112,178100.188686,3001277,2500000
3849216,356113.314838,2702241,2500000
6929408,356150.645782,4864099,2500000
12475392,712357.689967,4378205,2500000
22461440,1423507.535994,3944735,2500000
40437760,2832566.172523,3569004,2500000
72803328,5675228.386319,3207066,2500000
131072000,11334752.944725,2890932,2500000
