ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,100.798235,2539727,1500000
2048,186.797298,2740939,1500000
3072,352.401400,2179333,1500000
6144,712.207449,2156675,1500000
11264,1409.457379,1997932,1500000
19456,2803.768486,1734808,1500000
34816,5588.532721,1557475,1500000
62464,5579.906904,2798613,1500000
112640,11147.596794,2526105,1500000
203776,22278.713954,2286667,1500000
366592,44533.940803,2057936,1500000
659456,89049.875038,1851367,1500000
1187840,178040.938144,1667931,1500000
2138112,356180.083746,1500724,1500000
3849216,356176.187113,2701764,1500000
6929408,712362.948370,2431839,1500000
12475392,1424663.641488,2189182,1500000
22461440,2842221.518110,1975694,1500000
40437760,5647227.063503,1790160,1500000
72803328,11293255.690579,1611655,1500000
131072000,11308634.118682,2897609,1500000
