ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,50.399683,5079397,3000000
2048,93.373185,5483373,3000000
3072,182.312939,4212537,3000000
6144,356.100009,4313395,3000000
11264,704.720577,3995910,3000000
19456,1402.283150,3468629,3000000
34816,2794.649454,3114523,3000000
62464,2789.717205,5597700,3000000
112640,5572.676628,5053227,3000000
203776,11141.181629,4572585,3000000
366592,22268.674690,4115557,3000000
659456,44524.937519,3702734,3000000
1187840,89051.675821,3334693,3000000
2138112,178097.221662,3001327,3000000
3849216,178056.986880,5404472,3000000
6929408,356184.110590,4863642,3000000
12475392,712365.011786,4378160,3000000
22461440,1423179.587413,3945644,3000000
40437760,2833961.315266,3567247,3000000
72803328,5666496.471989,3212008,3000000
131072000,5658247.904749,5791192,3000000
