ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,25.197307,10159816,9000000
2048,46.697864,10964099,9000000
3072,45.579633,16849631,9000000
6144,89.025193,17253543,9000000
11264,176.161573,15985325,9000000
19456,350.553910,13875184,9000000
34816,698.560423,12459910,9000000
62464,1394.983206,11194400,9000000
112640,2786.924022,10104330,9000000
203776,5569.856911,9146375,9000000
366592,5566.820032,16463259,9000000
659456,11130.912724,14811364,9000000
1187840,22261.250042,13339772,9000000
2138112,44515.421100,12007704,9000000
3849216,89037.884107,10807804,9000000
6929408,178079.386709,9727976,9000000
12475392,178075.898631,17514150,9000000
22461440,355966.242491,15774979,9000000
40437760,708802.084765,14262712,9000000
72803328,1407143.555712,12934595,9000000
131072000,2838425.110638,11544430,9000000
